id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4493219230119536,ID73B0v60,#春暖花开樱为有你#西安交通大学以“樱”之名，将爱传递，用“舞”致敬所有奋战在抗“疫”一线的医务工作者们。去@咪咕视频 为西安交通大学打call吧～最美的樱花，不及最美的你。#西安交大落樱铺满樱花大道# 西安交通大学的微博视频 ,,"http://f.video.weibocdn.com/A0xM1Inhlx07CsxBl0ru010412024sPG0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1586971552&ssig=Nh8Uv2omIw&KID=unistore,video",,2020-04-13,微博 weibo.com,129657,2390,892,"春暖花开樱为有你,西安交大落樱铺满樱花大道",咪咕视频
4493218567822376,ID72wwOXm,#交大live# 【TED演讲：如何通过肢体语言读懂一个人的心？】肢体语言能够体现一个人的思考方式，你只要知道该去注意什么，就可以搞懂别人的大脑是怎么想的，然后用别人看得见、听得懂的方式表达出你要传达的信息。该怎样通过读懂别人的肢体语言，得到别人支持和欣赏呢? TEDx演讲的微博视频 ,,"http://f.video.weibocdn.com/vnfoidpZlx07CpyMZfwk010412036tcJ0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1586971552&ssig=oaG5vOK1N%2F&KID=unistore,video",,2020-04-13,睡不醒Android,6769,137,20,交大live,
4493172761737726,ID5QE7i3Q,#微风梧桐# 昔风不起，唯有努力生存。   /宫崎骏 《起风了》 ,https://wx2.sinaimg.cn/large/6f0a090dly1gdrsplbp0tj21400u0nae.jpg,,,2020-04-13,憨憨’s iPhone,4892,110,42,微风梧桐,
4493140473543008,ID50zeRHi,#交大浮光# 但愿所有的负担都将变成礼物，所受的苦都能照亮未来迷茫的路早安 ,https://wx1.sinaimg.cn/large/6f0a090dly1gdrqgso9rpj20e607kq3o.jpg,,,2020-04-13,憨憨’s iPhone,154,19,5,交大浮光,
4493024190707562,ID1Z12Y4i,#晚安仙交#         在一阵短暂的停顿之后，忽然间望去，整个城市仿佛又重新开始呼吸了起来。        街道间光影的律动，伴随着行人匆忙的脚步，一切显得那么自然，那么美好。        晚安 ,https://wx3.sinaimg.cn/large/6f0a090dly1gdrdrk1hgxj23y81w01ky.jpg,,,2020-04-12,迷醉长安的Android,88,14,2,晚安仙交,
4493014015908373,ID1IBoN2l,#交大音夜巴# “夜已成载心无眠再巨大的伤悲皆已成灰”告五人-带我去找夜生活告五人樂團的微博视频  ,,"http://f.video.weibocdn.com/001e4YV8lx07zsHF40Sc01041201EziL0E010.mp4?label=mp4_hd&template=1280x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586971552&ssig=OFhujuPbZG&KID=unistore,video",,2020-04-12,NEX 3 5G,55,8,5,交大音夜巴,
4492992804865688,ID1aokpMQ,#沙坡村干货# 【转存！居家运动指南！】一套简单易学、科学有效的运动指南，兵哥哥教你在家也能科学健身！赶快学起来~ via@央广军事 ,"https://wx3.sinaimg.cn/large/6f0a090dly1gdra7a30utg204106ob29.gif,https://wx4.sinaimg.cn/large/6f0a090dly1gdra7aoobpg204106o7wh.gif,https://wx3.sinaimg.cn/large/6f0a090dly1gdra7bbuxdg204106owz0.gif,https://wx3.sinaimg.cn/large/6f0a090dly1gdra7d2king204106ox6p.gif,https://wx4.sinaimg.cn/large/6f0a090dly1gdra7dsgwhg204106o7wh.gif,https://wx1.sinaimg.cn/large/6f0a090dly1gdra7fd5mrg204106onno.gif,https://wx3.sinaimg.cn/large/6f0a090dly1gdra7g6r0mg203w06tx6p.gif,https://wx2.sinaimg.cn/large/6f0a090dly1gdra7h1qwlg204106ox22.gif,https://wx4.sinaimg.cn/large/6f0a090dly1gdra7hhk3hg204106ohav.gif",,,2020-04-12,NEX 3 5G,33,4,3,沙坡村干货,央广军事
4492979525932911,ID0OYoTq7,#思源夜话# 你最理想的开学日期是？ ,https://wx1.sinaimg.cn/large/6f0a090dly1gdr8od8zq8j20p00rq0u0.jpg,,,2020-04-12,格瓦斯Android,274,113,2,思源夜话,
4492975788955604,ID0IWBzLe,#沙坡电台# Summer Cozy Rock 夏日漱石 (Summer Cozy Rock) ,"https://wx3.sinaimg.cn/large/6f0a090dly1gdr88bfrg2j20qy0zh3zo.jpg,https://wx2.sinaimg.cn/large/6f0a090dly1gdr88bsxgej20qy0qymyb.jpg",,,2020-04-12,NEX 3 5G,47,11,2,沙坡电台,
4492930582546397,ICZy2aGqV,#交大沙龙# 分享你最近看的电影电视剧吧 ,https://wx2.sinaimg.cn/large/6f0a090dly1gdr1wso42yj20qy0qydid.jpg,,,2020-04-12,NEX 3 5G,109,55,1,交大沙龙,
